sku,name ,crosssell_skus,crosssell_position
30-0039-0-08,雙人標準(5X6.2) | 天絲防蟎減壓記憶薄墊,"Addon-CS-23-00108,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,30-0001-0-08-v2,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00109,Addon-CS-23-00110,Addon-CS-23-00107,Addon-CS-30-0009-0-08-v2,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1017956,21-0057-0-19,1017957","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
30-0001-0-08-v2,雙人標準(5X6.2)｜涼感減壓記憶床墊｜零干擾 獨立筒,"Addon-CS-23-00108,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,30-0039-0-08,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00109,Addon-CS-23-00110,Addon-CS-23-00107,Addon-CS-30-0009-0-08-v2,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1017956,21-0057-0-19,1017957","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
30-0049-0-08-v2,雙人標準(5X6.2)｜護腰護脊減壓記憶床墊｜零干擾 獨立筒,"Addon-CS-23-00109,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,30-0039-0-08,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00108,Addon-CS-23-00110,Addon-CS-23-00107,Addon-CS-1017828-v2,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1017956,21-0057-0-19,1017957","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
30-0003-0-08-v2,涼感減壓記憶枕 (高14cm)｜冰絲表布 專利記憶棉,"Addon-CS-30-0012-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-23-00108,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00109,Addon-CS-23-00110,Addon-CS-23-00107,22-0074-0-06,22-0078-0-02,1017956,1018007,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,Addon-CS-1017775-v2,Addon-CS-30-0041-0-08-v2","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
30-0033-0-08-v2,天絲防蟎減壓高低枕 (高側11／低側9cm),"Addon-CS-30-0041-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-23-00108,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00109,Addon-CS-23-00110,Addon-CS-23-00107,22-0074-0-06,22-0078-0-02,1017956,1018007,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,Addon-CS-1017775-v2,Addon-CS-30-0041-0-08-v2,Addon-CS-30-0012-0-08-v2","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
30-0042-0-08-v2,護頸減壓蝶型記憶枕 (高側12 / 低側10cm)｜防壓耳 側睡不壓耳,"Addon-CS-1017775-v2,30-0049-0-08-v2,30-0039-0-08,Addon-CS-23-00108,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00109,Addon-CS-23-00110,Addon-CS-23-00107,22-0074-0-06,22-0078-0-02,1017956,1018007,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,Addon-CS-1017775-v2,Addon-CS-30-0041-0-08-v2Addon-CS-1017775-v2,Addon-CS-30-0012-0-08-v2","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1017922,Emma 小坪數延伸餐桌 140/180cm 原木色,"12-0082-0-02,1017974,13-0012-0-02,1017972,1017928,22-0142-0-19,1017965,1018120,1018122,22-0021-1-06-v2,22-0140-0-19,22-0144-0-19,22-0145-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
24-0036-0-18,Ivy 小坪數延伸餐桌 120/160cm,"12-0082-0-02,1017974,13-0012-0-02,1017972,1017928,22-0142-0-19,1017965,1018120,1018122,22-0021-1-06-v2,22-0140-0-19,22-0144-0-19,22-0145-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
24-0006-0-06-v2,Joyce 小坪數延伸餐桌 120/162cm 原木色,"12-0082-0-02,1017974,13-0012-0-02,1017972,1017928,22-0142-0-19,1017965,1018120,1018122,22-0021-1-06-v2,22-0140-0-19,22-0144-0-19,22-0145-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
24-0046-0-06,Joyce 小坪數延伸餐桌 120/162cm 胡桃木色,"12-0083-0-02,1017975,13-0012-0-02,13-0023-0-19,1017928,22-0049-0-19,1017965,1018120,1018122,22-0135-0-19,22-0055-0-19,22-0051-0-19,22-0052-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1017927,超級收納餐邊櫃 120cm,"1018406,24-0006-0-06-v2,1017940,22-0140-0-19,1017965,12-0082-0-02,1017974,13-0012-0-02,13-0013-0-02,1018120,1018122,14-0014-0-17,14-0009-0-17,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1017928,超級收納餐邊櫃 150cm,"1018406,24-0006-0-06-v2,1017940,22-0140-0-19,1017965,12-0082-0-02,1017974,13-0012-0-02,13-0013-0-02,1018120,1018122,14-0014-0-17,14-0009-0-17,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0049-0-19,【北歐復古】Antony 實木餐邊櫃 赤栗棕,"1017931,24-0046-0-06,24-0040-0-19,22-0055-0-19,1017965,12-0083-0-02,1017975,13-0023-0-19,13-0013-0-02,1018120,1018122,14-0014-0-17,14-0009-0-17,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0021-1-06-v2,Paco 層架,"21-0004-1-06-v2,1017956,13-0016-0-19,13-0021-0-19,35-0016-0-17,35-0007-0-17,22-0144-0-19,22-0145-0-19,22-0141-0-19,1017999,1018417,10-0115-203001-03,1018032,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
